parent,child,distance_km,capacity_kw,resistance_ohm_per_km,resistance_ohm
SUBSTATION,C001,0.298,433.92,0.12,0.03576
SUBSTATION,C002,0.435,271.85,0.12,0.052199999999999996
C002,C003,0.338,160.33,0.12,0.04056
SUBSTATION,C004,0.45,374.53,0.12,0.054
C002,C005,0.32,228.56,0.12,0.0384
C004,C006,0.552,444.26,0.12,0.06624000000000001
C003,C007,0.367,555.41,0.12,0.044039999999999996
C006,C008,0.187,318.35,0.12,0.022439999999999998
C004,C009,0.13,553.62,0.12,0.0156
C008,C010,0.262,180.49,0.12,0.03144
C010,C011,0.556,569.83,0.12,0.06672
C006,C012,0.223,185.58,0.12,0.02676
